คุณภาพน้ำทะเล,ชายฝั่งทะเล,ปี,จำนวน
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2541,4.9 - 6.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2542,6.5 - 7.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2543,6.5 - 7.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2544,2.1 - 6.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2545,         6.4 - 7.0
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2546,3.7-6.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2547,4.6-9.1
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2548,7.4 - 8.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2549,6.0 - 7.5
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2550,5.9 - 7.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2551,5.15 - 7.0
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2552,4.20 - 7.13
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2553,3.27-8.11
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2554,4.86 - 7.22
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2555,4.54-6.31
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2556,3.33-5.99
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2557,4.70 - 6.54
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวอุดมและแหลมฉบัง,2558,3.09 - 5.80
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2541,5.2 - 6.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2542,6.7 - 7.4
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2543,6.1 - 7.0
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2544,4.0 - 6.0
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2545,         6.3 - 6.5
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2546,5.3-7.9
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2547,5.4-6.9
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2548,8.0 - 8.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2549,5.7 - 7.5
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดพัทยา,2550,5.8 - 7.6
